# Large body (blockage 3/9) 
#
# The file contains PIV data for a turbulent pipe flow past a body of revolution on the centerline.
# Geometry of the body and details of the experiment can be found in:  
#
#   L. Ding, T. Saxton-Fox, M. Hultmark, and A. J. Smits 
#   Effects of pressure gradients and streamline curvature on the statistics of a turbulent pipe flow. 
#   In 11th International Symposium on Turbulence and Shear Flow Phenomena, Southampton, UK, 2019 
#
# Paramters of the fully-developed pipe flow upstream of the body: 
#
#   Pipe diameter, D = 38.1 mm 
#   Bulk velocity, Ub = 4.1 m/s 
#   Friction velocity, utau = 0.186 m/s 
#   Kinematic viscosity, nu = 1.0035e-06 m^2/s 
#   Bulk Reynolds number, Re_D = 156,000 
#   Friction Reynolds number, Re_tau = 3,550 
#
# In the data below, Ux and Ur are normalized by Ub, and <ux^2>, <ur^2> and <uxur> are normalized by utau^2. 
#
# x/R r/R y/R Ux Ur <ux^2> <ur^2> <uxur> 
0.0000 0.2244 0.7756 1.0332 0.2337 1.2339 2.3923 0.2438 
0.0000 0.2341 0.7659 1.0431 0.2223 1.2352 2.0908 0.2251 
0.0000 0.2439 0.7561 1.0520 0.2129 1.2432 1.8736 0.2089 
0.0000 0.2537 0.7463 1.0599 0.2047 1.2480 1.6814 0.1956 
0.0000 0.2634 0.7366 1.0669 0.1968 1.2597 1.5162 0.1857 
0.0000 0.2732 0.7268 1.0734 0.1880 1.2796 1.3904 0.1797 
0.0000 0.2829 0.7171 1.0788 0.1793 1.3007 1.2963 0.1776 
0.0000 0.2927 0.7073 1.0834 0.1719 1.3206 1.2232 0.1788 
0.0000 0.3024 0.6976 1.0872 0.1653 1.3515 1.1708 0.1820 
0.0000 0.3122 0.6878 1.0905 0.1594 1.3822 1.1199 0.1863 
0.0000 0.3219 0.6781 1.0937 0.1539 1.4042 1.0678 0.1910 
0.0000 0.3317 0.6683 1.0966 0.1484 1.4244 1.0323 0.1961 
0.0000 0.3415 0.6585 1.0991 0.1429 1.4534 1.0109 0.2015 
0.0000 0.3512 0.6488 1.1015 0.1379 1.4899 0.9988 0.2070 
0.0000 0.3610 0.6390 1.1033 0.1336 1.5178 0.9877 0.2121 
0.0000 0.3707 0.6293 1.1049 0.1294 1.5433 0.9760 0.2166 
0.0000 0.3805 0.6195 1.1061 0.1257 1.5673 0.9630 0.2207 
0.0000 0.3902 0.6098 1.1069 0.1212 1.5977 0.9504 0.2251 
0.0000 0.4000 0.6000 1.1074 0.1164 1.6370 0.9503 0.2307 
0.0000 0.4098 0.5902 1.1081 0.1133 1.6763 0.9560 0.2380 
0.0000 0.4195 0.5805 1.1091 0.1108 1.7171 0.9608 0.2471 
0.0000 0.4293 0.5707 1.1099 0.1079 1.7548 0.9620 0.2575 
0.0000 0.4390 0.5610 1.1099 0.1047 1.8009 0.9593 0.2686 
0.0000 0.4488 0.5512 1.1093 0.1014 1.8583 0.9661 0.2799 
0.0000 0.4585 0.5415 1.1083 0.0980 1.9017 0.9786 0.2909 
0.0000 0.4683 0.5317 1.1073 0.0948 1.9465 0.9776 0.3012 
0.0000 0.4780 0.5220 1.1064 0.0924 1.9974 0.9778 0.3105 
0.0000 0.4878 0.5122 1.1052 0.0897 2.0422 0.9831 0.3191 
0.0000 0.4976 0.5024 1.1040 0.0862 2.0842 0.9923 0.3276 
0.0000 0.5073 0.4927 1.1031 0.0834 2.1197 1.0046 0.3364 
0.0000 0.5171 0.4829 1.1020 0.0812 2.1531 1.0143 0.3459 
0.0000 0.5268 0.4732 1.1009 0.0792 2.1888 1.0276 0.3559 
0.0000 0.5366 0.4634 1.1003 0.0775 2.2412 1.0351 0.3662 
0.0000 0.5463 0.4537 1.0993 0.0754 2.2922 1.0367 0.3771 
