# Medium body (blockage 2/9) 
#
# The file contains PIV data for a turbulent pipe flow past a body of revolution on the centerline.
# Geometry of the body and details of the experiment can be found in:  
#
#   L. Ding, T. Saxton-Fox, M. Hultmark, and A. J. Smits 
#   Effects of pressure gradients and streamline curvature on the statistics of a turbulent pipe flow. 
#   In 11th International Symposium on Turbulence and Shear Flow Phenomena, Southampton, UK, 2019 
#
# Paramters of the fully-developed pipe flow upstream of the body: 
#
#   Pipe diameter, D = 38.1 mm 
#   Bulk velocity, Ub = 4.1 m/s 
#   Friction velocity, utau = 0.186 m/s 
#   Kinematic viscosity, nu = 1.0035e-06 m^2/s 
#   Bulk Reynolds number, Re_D = 156,000 
#   Friction Reynolds number, Re_tau = 3,550 
#
# In the data below, Ux and Ur are normalized by Ub, and <ux^2>, <ur^2> and <uxur> are normalized by utau^2. 
#
# x/R r/R y/R Ux Ur <ux^2> <ur^2> <uxur> 
0.0000 0.3066 0.6934 1.1206 0.1305 1.4826 1.0159 0.2344 
0.0000 0.3165 0.6835 1.1226 0.1246 1.5073 0.9856 0.2343 
0.0000 0.3264 0.6736 1.1238 0.1192 1.5423 0.9664 0.2367 
0.0000 0.3363 0.6637 1.1244 0.1145 1.5814 0.9535 0.2419 
0.0000 0.3462 0.6538 1.1252 0.1101 1.6203 0.9432 0.2491 
0.0000 0.3561 0.6439 1.1258 0.1059 1.6561 0.9364 0.2570 
0.0000 0.3660 0.6340 1.1263 0.1015 1.6856 0.9361 0.2637 
0.0000 0.3759 0.6241 1.1270 0.0973 1.7235 0.9370 0.2688 
0.0000 0.3857 0.6143 1.1270 0.0934 1.7635 0.9362 0.2726 
0.0000 0.3956 0.6044 1.1260 0.0900 1.8000 0.9388 0.2766 
0.0000 0.4055 0.5945 1.1249 0.0872 1.8433 0.9517 0.2822 
0.0000 0.4154 0.5846 1.1240 0.0844 1.8856 0.9578 0.2899 
0.0000 0.4253 0.5747 1.1239 0.0821 1.9262 0.9603 0.2994 
0.0000 0.4352 0.5648 1.1237 0.0800 1.9683 0.9694 0.3098 
0.0000 0.4451 0.5549 1.1224 0.0775 2.0116 0.9752 0.3203 
0.0000 0.4550 0.5450 1.1209 0.0743 2.0560 0.9820 0.3302 
0.0000 0.4649 0.5351 1.1194 0.0716 2.0976 0.9909 0.3394 
0.0000 0.4748 0.5252 1.1174 0.0693 2.1263 0.9996 0.3480 
0.0000 0.4847 0.5153 1.1155 0.0670 2.1488 1.0098 0.3566 
0.0000 0.4945 0.5055 1.1129 0.0646 2.1754 1.0156 0.3658 
0.0000 0.5044 0.4956 1.1101 0.0617 2.2150 1.0262 0.3761 
0.0000 0.5143 0.4857 1.1079 0.0589 2.2670 1.0444 0.3873 
0.0000 0.5242 0.4758 1.1065 0.0567 2.3195 1.0597 0.3989 
0.0000 0.5341 0.4659 1.1050 0.0556 2.3749 1.0678 0.4105 
0.0000 0.5440 0.4560 1.1033 0.0547 2.4206 1.0742 0.4221 
0.0000 0.5539 0.4461 1.1010 0.0530 2.4604 1.0831 0.4338 
0.0000 0.5638 0.4362 1.0976 0.0510 2.5033 1.0907 0.4453 
0.0000 0.5737 0.4263 1.0939 0.0488 2.5494 1.0988 0.4563 
0.0000 0.5836 0.4164 1.0907 0.0465 2.5962 1.1196 0.4665 
0.0000 0.5935 0.4065 1.0878 0.0437 2.6459 1.1424 0.4759 
0.0000 0.6033 0.3967 1.0843 0.0408 2.6960 1.1605 0.4852 
0.0000 0.6132 0.3868 1.0809 0.0388 2.7386 1.1740 0.4954 
0.0000 0.6231 0.3769 1.0779 0.0382 2.7969 1.1817 0.5067 
0.0000 0.6330 0.3670 1.0751 0.0380 2.8525 1.1879 0.5191 
0.0000 0.6429 0.3571 1.0721 0.0380 2.8965 1.1971 0.5318 
0.0000 0.6528 0.3472 1.0687 0.0374 2.9517 1.2103 0.5437 
0.0000 0.6627 0.3373 1.0652 0.0361 2.9980 1.2211 0.5542 
0.0000 0.6726 0.3274 1.0615 0.0350 3.0568 1.2283 0.5629 
0.0000 0.6825 0.3175 1.0580 0.0345 3.1228 1.2403 0.5704 
0.0000 0.6924 0.3076 1.0552 0.0338 3.1714 1.2510 0.5776 
0.0000 0.7023 0.2977 1.0520 0.0321 3.2408 1.2551 0.5857 
0.0000 0.7121 0.2879 1.0477 0.0298 3.3048 1.2621 0.5953 
0.0000 0.7220 0.2780 1.0432 0.0281 3.3515 1.2721 0.6063 
0.0000 0.7319 0.2681 1.0389 0.0271 3.4276 1.2888 0.6184 
0.0000 0.7418 0.2582 1.0345 0.0259 3.5071 1.3006 0.6309 
0.0000 0.7517 0.2483 1.0301 0.0250 3.5844 1.3116 0.6431 
0.0000 0.7616 0.2384 1.0252 0.0242 3.6615 1.3231 0.6550 
0.0000 0.7715 0.2285 1.0193 0.0230 3.7244 1.3271 0.6666 
0.0000 0.7814 0.2186 1.0130 0.0219 3.7887 1.3387 0.6778 
0.0000 0.7913 0.2087 1.0067 0.0212 3.8528 1.3460 0.6887 
0.0000 0.8012 0.1988 1.0003 0.0203 3.9303 1.3571 0.6995 
0.0000 0.8111 0.1889 0.9932 0.0191 4.0018 1.3701 0.7103 
0.0000 0.8209 0.1791 0.9862 0.0180 4.0731 1.3735 0.7208 
0.0000 0.8308 0.1692 0.9791 0.0171 4.1519 1.3762 0.7308 
0.0000 0.8407 0.1593 0.9718 0.0163 4.2309 1.3828 0.7402 
0.0000 0.8506 0.1494 0.9643 0.0148 4.3338 1.3894 0.7486 
0.0000 0.8605 0.1395 0.9564 0.0129 4.4348 1.3862 0.7551 
0.0000 0.8704 0.1296 0.9487 0.0122 4.5246 1.3817 0.7595 
0.0000 0.8803 0.1197 0.9398 0.0122 4.6388 1.3764 0.7622 
0.0000 0.8902 0.1098 0.9300 0.0117 4.7357 1.3810 0.7634 
0.0000 0.9001 0.0999 0.9185 0.0106 4.8664 1.3984 0.7628 
0.0000 0.9100 0.0900 0.9058 0.0097 4.9917 1.4006 0.7595 
0.0000 0.9198 0.0802 0.8930 0.0094 5.1381 1.3817 0.7527 
0.0000 0.9297 0.0703 0.8766 0.0092 5.2884 1.3576 0.7415 
0.0000 0.9396 0.0604 0.8587 0.0087 5.3788 1.3240 0.7246 
0.0000 0.9495 0.0505 0.8372 0.0067 5.6737 1.2878 0.7036 
0.0000 0.9594 0.0406 0.8115 0.0042 6.0145 1.2866 0.6782 
0.0000 0.9693 0.0307 0.7801 0.0041 6.6021 1.2685 0.6512 
0.0000 0.9792 0.0208 0.7592 0.0050 6.9147 1.1566 0.6260 
0.1000 0.1811 0.8189 1.1438 0.3865 3.3427 1.6686 0.4056 
0.1000 0.1910 0.8090 1.1428 0.3514 2.6957 1.2854 0.3828 
0.1000 0.2009 0.7991 1.1420 0.3219 2.2462 1.1011 0.3570 
0.1000 0.2108 0.7892 1.1427 0.2967 1.9471 1.0166 0.3298 
0.1000 0.2207 0.7793 1.1441 0.2757 1.7591 0.9535 0.3029 
0.1000 0.2306 0.7694 1.1449 0.2577 1.6204 0.9105 0.2765 
0.1000 0.2405 0.7595 1.1455 0.2417 1.5234 0.8800 0.2539 
0.1000 0.2504 0.7496 1.1466 0.2279 1.4752 0.8615 0.2358 
0.1000 0.2603 0.7397 1.1472 0.2153 1.4484 0.8520 0.2229 
0.1000 0.2701 0.7299 1.1477 0.2032 1.4410 0.8508 0.2151 
0.1000 0.2800 0.7200 1.1479 0.1919 1.4407 0.8486 0.2108 
0.1000 0.2899 0.7101 1.1475 0.1816 1.4505 0.8508 0.2083 
0.1000 0.2998 0.7002 1.1474 0.1715 1.4616 0.8508 0.2069 
0.1000 0.3097 0.6903 1.1478 0.1628 1.4741 0.8458 0.2067 
0.1000 0.3196 0.6804 1.1477 0.1556 1.4918 0.8453 0.2084 
0.1000 0.3295 0.6705 1.1470 0.1489 1.5257 0.8487 0.2125 
0.1000 0.3394 0.6606 1.1464 0.1430 1.5667 0.8538 0.2185 
0.1000 0.3493 0.6507 1.1459 0.1374 1.5969 0.8561 0.2254 
0.1000 0.3592 0.6408 1.1454 0.1312 1.6355 0.8599 0.2325 
0.1000 0.3691 0.6309 1.1442 0.1246 1.6776 0.8688 0.2392 
0.1000 0.3789 0.6211 1.1422 0.1186 1.7130 0.8836 0.2453 
0.1000 0.3888 0.6112 1.1406 0.1136 1.7473 0.8990 0.2510 
0.1000 0.3987 0.6013 1.1398 0.1102 1.7803 0.9085 0.2568 
0.1000 0.4086 0.5914 1.1394 0.1071 1.8137 0.9117 0.2635 
0.1000 0.4185 0.5815 1.1388 0.1037 1.8450 0.9140 0.2717 
0.1000 0.4284 0.5716 1.1381 0.1002 1.8714 0.9207 0.2817 
0.1000 0.4383 0.5617 1.1374 0.0966 1.9119 0.9345 0.2930 
0.1000 0.4482 0.5518 1.1361 0.0931 1.9674 0.9468 0.3047 
0.1000 0.4581 0.5419 1.1342 0.0892 2.0137 0.9551 0.3156 
0.1000 0.4680 0.5320 1.1322 0.0857 2.0490 0.9641 0.3253 
0.1000 0.4779 0.5221 1.1299 0.0826 2.0749 0.9712 0.3341 
0.1000 0.4877 0.5123 1.1278 0.0796 2.1091 0.9784 0.3426 
0.1000 0.4976 0.5024 1.1255 0.0766 2.1541 0.9868 0.3518 
0.1000 0.5075 0.4925 1.1227 0.0737 2.1934 1.0000 0.3620 
0.1000 0.5174 0.4826 1.1196 0.0702 2.2397 1.0167 0.3737 
0.1000 0.5273 0.4727 1.1165 0.0665 2.2971 1.0330 0.3873 
0.1000 0.5372 0.4628 1.1134 0.0637 2.3465 1.0476 0.4027 
0.1000 0.5471 0.4529 1.1110 0.0622 2.3872 1.0650 0.4193 
0.1000 0.5570 0.4430 1.1093 0.0612 2.4433 1.0846 0.4357 
0.1000 0.5669 0.4331 1.1079 0.0601 2.4964 1.0998 0.4504 
0.1000 0.5768 0.4232 1.1065 0.0589 2.5303 1.1154 0.4626 
0.1000 0.5867 0.4133 1.1045 0.0575 2.5623 1.1323 0.4724 
0.1000 0.5965 0.4035 1.1011 0.0559 2.6119 1.1455 0.4809 
0.1000 0.6064 0.3936 1.0971 0.0541 2.6652 1.1502 0.4892 
0.1000 0.6163 0.3837 1.0938 0.0520 2.7111 1.1551 0.4979 
0.1000 0.6262 0.3738 1.0905 0.0498 2.7745 1.1632 0.5070 
0.1000 0.6361 0.3639 1.0875 0.0478 2.8289 1.1789 0.5165 
0.1000 0.6460 0.3540 1.0846 0.0456 2.8747 1.1901 0.5262 
0.1000 0.6559 0.3441 1.0810 0.0440 2.9318 1.1935 0.5360 
0.1000 0.6658 0.3342 1.0771 0.0429 2.9779 1.2047 0.5458 
0.1000 0.6757 0.3243 1.0726 0.0412 3.0362 1.2175 0.5552 
0.1000 0.6856 0.3144 1.0678 0.0386 3.1020 1.2320 0.5641 
0.1000 0.6955 0.3045 1.0638 0.0368 3.1464 1.2446 0.5727 
0.1000 0.7053 0.2947 1.0601 0.0356 3.2078 1.2510 0.5814 
0.1000 0.7152 0.2848 1.0564 0.0343 3.2719 1.2541 0.5907 
0.1000 0.7251 0.2749 1.0524 0.0333 3.3342 1.2581 0.6004 
0.1000 0.7350 0.2650 1.0476 0.0324 3.4045 1.2719 0.6111 
0.1000 0.7449 0.2551 1.0426 0.0314 3.4651 1.2844 0.6228 
0.1000 0.7548 0.2452 1.0374 0.0300 3.5405 1.2986 0.6359 
0.1000 0.7647 0.2353 1.0319 0.0284 3.6101 1.3183 0.6499 
0.1000 0.7746 0.2254 1.0264 0.0268 3.6823 1.3352 0.6639 
0.1000 0.7845 0.2155 1.0206 0.0256 3.7618 1.3457 0.6769 
0.1000 0.7944 0.2056 1.0156 0.0245 3.8292 1.3470 0.6883 
0.1000 0.8043 0.1957 1.0108 0.0232 3.9132 1.3528 0.6985 
0.1000 0.8141 0.1859 1.0049 0.0217 4.0083 1.3676 0.7080 
0.1000 0.8240 0.1760 0.9981 0.0201 4.0916 1.3770 0.7168 
0.1000 0.8339 0.1661 0.9911 0.0192 4.1670 1.3815 0.7248 
0.1000 0.8438 0.1562 0.9841 0.0187 4.2448 1.3878 0.7320 
0.1000 0.8537 0.1463 0.9759 0.0174 4.3375 1.3920 0.7382 
0.1000 0.8636 0.1364 0.9677 0.0158 4.4298 1.3923 0.7435 
0.1000 0.8735 0.1265 0.9584 0.0145 4.5438 1.3841 0.7473 
0.1000 0.8834 0.1166 0.9478 0.0136 4.6390 1.3774 0.7492 
0.1000 0.8933 0.1067 0.9376 0.0125 4.7312 1.3842 0.7491 
0.1000 0.9032 0.0968 0.9260 0.0120 4.8840 1.3995 0.7475 
0.1000 0.9131 0.0869 0.9129 0.0114 5.0037 1.3914 0.7442 
0.1000 0.9229 0.0771 0.8978 0.0096 5.1847 1.3717 0.7378 
0.1000 0.9328 0.0672 0.8816 0.0081 5.3614 1.3517 0.7261 
0.1000 0.9427 0.0573 0.8636 0.0064 5.5015 1.3150 0.7104 
0.1000 0.9526 0.0474 0.8408 0.0056 5.8098 1.2814 0.6910 
0.1000 0.9625 0.0375 0.8150 0.0055 6.2047 1.2925 0.6702 
0.1000 0.9724 0.0276 0.7845 0.0043 7.0093 1.2423 0.6503 
0.2000 0.2140 0.7860 1.1878 0.2731 1.1769 0.6725 0.0738 
0.2000 0.2239 0.7761 1.1850 0.2615 1.1585 0.6623 0.0706 
0.2000 0.2338 0.7662 1.1824 0.2502 1.1579 0.6663 0.0685 
0.2000 0.2437 0.7563 1.1800 0.2393 1.1645 0.6743 0.0688 
0.2000 0.2536 0.7464 1.1786 0.2293 1.1768 0.6866 0.0725 
0.2000 0.2634 0.7366 1.1781 0.2191 1.2042 0.7059 0.0793 
0.2000 0.2733 0.7267 1.1772 0.2098 1.2421 0.7188 0.0888 
0.2000 0.2832 0.7168 1.1758 0.2010 1.2785 0.7329 0.0994 
0.2000 0.2931 0.7069 1.1745 0.1920 1.3065 0.7477 0.1103 
0.2000 0.3030 0.6970 1.1729 0.1838 1.3279 0.7554 0.1210 
0.2000 0.3129 0.6871 1.1716 0.1764 1.3579 0.7671 0.1320 
0.2000 0.3228 0.6772 1.1706 0.1697 1.4015 0.7793 0.1436 
0.2000 0.3327 0.6673 1.1694 0.1633 1.4454 0.7861 0.1558 
0.2000 0.3426 0.6574 1.1682 0.1572 1.4910 0.7927 0.1684 
0.2000 0.3525 0.6475 1.1672 0.1515 1.5361 0.8072 0.1808 
0.2000 0.3624 0.6376 1.1660 0.1463 1.5802 0.8261 0.1923 
0.2000 0.3722 0.6278 1.1647 0.1408 1.6224 0.8364 0.2023 
0.2000 0.3821 0.6179 1.1627 0.1345 1.6469 0.8494 0.2109 
0.2000 0.3920 0.6080 1.1601 0.1283 1.6764 0.8591 0.2190 
0.2000 0.4019 0.5981 1.1580 0.1233 1.7077 0.8648 0.2275 
0.2000 0.4118 0.5882 1.1562 0.1192 1.7346 0.8742 0.2367 
0.2000 0.4217 0.5783 1.1540 0.1151 1.7583 0.8823 0.2464 
0.2000 0.4316 0.5684 1.1522 0.1107 1.7895 0.8983 0.2561 
0.2000 0.4415 0.5585 1.1505 0.1063 1.8395 0.9117 0.2658 
0.2000 0.4514 0.5486 1.1481 0.1021 1.8865 0.9154 0.2760 
0.2000 0.4613 0.5387 1.1455 0.0983 1.9353 0.9232 0.2873 
0.2000 0.4712 0.5288 1.1425 0.0945 1.9727 0.9403 0.2999 
0.2000 0.4810 0.5190 1.1392 0.0907 2.0069 0.9596 0.3139 
0.2000 0.4909 0.5091 1.1367 0.0878 2.0539 0.9752 0.3287 
0.2000 0.5008 0.4992 1.1353 0.0854 2.1001 0.9882 0.3437 
0.2000 0.5107 0.4893 1.1339 0.0831 2.1457 1.0026 0.3580 
0.2000 0.5206 0.4794 1.1323 0.0810 2.1897 1.0197 0.3711 
0.2000 0.5305 0.4695 1.1302 0.0790 2.2310 1.0329 0.3828 
0.2000 0.5404 0.4596 1.1279 0.0774 2.2779 1.0437 0.3934 
0.2000 0.5503 0.4497 1.1256 0.0752 2.3249 1.0516 0.4036 
0.2000 0.5602 0.4398 1.1237 0.0727 2.3740 1.0584 0.4142 
0.2000 0.5701 0.4299 1.1216 0.0704 2.4226 1.0737 0.4258 
0.2000 0.5800 0.4200 1.1182 0.0677 2.4710 1.0915 0.4385 
0.2000 0.5898 0.4102 1.1146 0.0645 2.5304 1.1071 0.4514 
0.2000 0.5997 0.4003 1.1111 0.0616 2.5852 1.1181 0.4639 
0.2000 0.6096 0.3904 1.1075 0.0596 2.6362 1.1286 0.4753 
0.2000 0.6195 0.3805 1.1032 0.0579 2.6961 1.1401 0.4857 
0.2000 0.6294 0.3706 1.0982 0.0560 2.7550 1.1524 0.4950 
0.2000 0.6393 0.3607 1.0941 0.0544 2.8081 1.1697 0.5040 
0.2000 0.6492 0.3508 1.0899 0.0535 2.8618 1.1869 0.5132 
0.2000 0.6591 0.3409 1.0861 0.0517 2.9154 1.1993 0.5231 
0.2000 0.6690 0.3310 1.0830 0.0492 2.9611 1.2085 0.5334 
0.2000 0.6789 0.3211 1.0795 0.0471 3.0131 1.2214 0.5441 
0.2000 0.6888 0.3112 1.0759 0.0450 3.0616 1.2371 0.5548 
0.2000 0.6986 0.3014 1.0719 0.0426 3.1161 1.2480 0.5652 
0.2000 0.7085 0.2915 1.0682 0.0404 3.1850 1.2528 0.5755 
